,Probe_Id,ILMN_Gene
0,ILMN_2227757,PCDHB2
1,ILMN_1683690,DCDC2B
2,ILMN_1710146,LOC649978
3,ILMN_1822171,HS.302418
4,ILMN_1748473,GIMAP4
5,ILMN_1822843,HS.583233
6,ILMN_1710170,PPAP2C
7,ILMN_1704497,KRT25
8,ILMN_1847638,HS.579719
9,ILMN_1772260,STEAP1
10,ILMN_1672034,PIM3
11,ILMN_2140008,LOC652614
12,ILMN_1865286,HS.540469
13,ILMN_1912077,HS.127935
14,ILMN_1665737,UFD1L
15,ILMN_1706859,C22ORF32
16,ILMN_1914349,HS.197593
17,ILMN_1680322,HHCM
18,ILMN_1678554,LOC653832
19,ILMN_1691534,ICHTHYIN
20,ILMN_1668996,C1QBP
21,ILMN_2322552,NCKAP1
22,ILMN_1751904,EDNRB
23,ILMN_1700306,OCIAD2
24,ILMN_1893536,HS.537870
25,ILMN_1853681,HS.543228
26,ILMN_1714710,CCDC120
27,ILMN_1730175,ZNF19
28,ILMN_1652646,LOC441196
29,ILMN_1852570,HS.572929
30,ILMN_1672307,BMX
31,ILMN_2104696,ERICH1
32,ILMN_1718727,LOC644019
33,ILMN_1903696,HS.543170
34,ILMN_1835610,HS.552155
35,ILMN_1845444,HS.333288
36,ILMN_1906528,HS.537966
37,ILMN_2210111,GDF3
38,ILMN_1793146,CCDC25
39,ILMN_1692368,DLX2
40,ILMN_1916106,HS.566049
41,ILMN_1735042,OR4N4
42,ILMN_2194108,RBMY1J
43,ILMN_1797786,MAPK12
44,ILMN_1913897,HS.543463
45,ILMN_1688790,LOC730272
46,ILMN_1651767,MKL1
47,ILMN_1812702,SIX1
48,ILMN_1741224,GPR137C
49,ILMN_1663099,UBE2B
50,ILMN_1831907,HS.155607
51,ILMN_2196328,POSTN
52,ILMN_1887823,HS.582536
53,ILMN_1824609,HS.545070
54,ILMN_1777322,FAM91A1
55,ILMN_1770385,FLJ46838
56,ILMN_1720162,FAT4
57,ILMN_1828659,HS.269406
58,ILMN_1783075,C6ORF167
59,ILMN_1681576,IQCF2
60,ILMN_1661968,LOC644010
61,ILMN_1752967,DHPS
62,ILMN_1708631,LOC644819
63,ILMN_1849468,HS.568922
64,ILMN_1657816,LOC646422
65,ILMN_1668507,DDAH1
66,ILMN_1690922,MAST2
67,ILMN_1676602,SLC7A14
68,ILMN_1723685,PCDHB10
69,ILMN_1881975,HS.565030
70,ILMN_2401946,HSFY2
71,ILMN_1771643,LOC647200
72,ILMN_1877257,HS.551655
73,ILMN_1901929,HS.538076
74,ILMN_1906980,HS.146758
75,ILMN_2363498,LSR
76,ILMN_1681857,MYL7
77,ILMN_1735157,GALNT12
78,ILMN_1652890,LOC653349
79,ILMN_1661596,FLVCR1
80,ILMN_1685929,VANGL1
81,ILMN_1658472,APH1A
82,ILMN_1845076,HS.122053
83,ILMN_1740339,ZNF473
84,ILMN_1795511,LOC649101
85,ILMN_1719864,PACS2
86,ILMN_1702321,LOC651763
87,ILMN_1825376,HS.574219
88,ILMN_1661650,SMEK2
89,ILMN_1768433,CCDC71
90,ILMN_1765923,FLJ22222
91,ILMN_1683494,TMEM154
92,ILMN_1716259,PROK1
93,ILMN_2274531,ZNF586
94,ILMN_1745817,NELL1
95,ILMN_1728121,OR10R2
96,ILMN_1907619,HS.308627
97,ILMN_1853273,HS.174508
98,ILMN_1750250,ABCA12
99,ILMN_2361920,SGK2
100,ILMN_2242463,CTSC
101,ILMN_1901023,HS.561438
102,ILMN_1664136,LOC644074
103,ILMN_2336037,EPN2
104,ILMN_1670274,POU3F3
105,ILMN_1748235,LOC642111
106,ILMN_2151241,MMEL1
107,ILMN_1664008,LOC641744
108,ILMN_1660797,FAM90A2P
109,ILMN_1776490,C17ORF53
110,ILMN_1889525,HS.538984
111,ILMN_2331544,MBP
112,ILMN_1754562,ARHGEF17
113,ILMN_1902604,HS.571207
114,ILMN_1819003,HS.561095
115,ILMN_2323427,EPB41
116,ILMN_2041368,RN7SL1
117,ILMN_1803357,FLJ40125
118,ILMN_1869761,HS.566484
119,ILMN_1727574,ZNF827
120,ILMN_1714602,CD86
121,ILMN_1708706,LOC652065
122,ILMN_1658631,LOC642321
123,ILMN_1878154,HS.550811
124,ILMN_1663015,HIF3A
125,ILMN_1675376,AURKC
126,ILMN_1730223,RNF39
127,ILMN_1806432,NT5C
128,ILMN_1824432,HS.584269
129,ILMN_1676003,PNOC
130,ILMN_2091454,HBM
131,ILMN_1746376,SCARA3
132,ILMN_1659270,OTP
133,ILMN_1665996,BCL7A
134,ILMN_1809601,WFIKKN1
135,ILMN_2412564,NCBP2
136,ILMN_2407669,PEAR1
137,ILMN_1722900,EIF4A1
