,Probe_Id,ILMN_Gene,ensembl_gene_id,external_gene_name
0,ILMN_2227757,PCDHB2,ENSG00000112852,PCDHB2
1,ILMN_1683690,DCDC2B,ENSG00000222046,DCDC2B
2,ILMN_1710146,LOC649978,,
3,ILMN_1822171,HS.302418,,
4,ILMN_1748473,GIMAP4,ENSG00000133574,GIMAP4
5,ILMN_1822843,HS.583233,,
6,ILMN_1710170,PPAP2C,ENSG00000141934,PLPP2
7,ILMN_1704497,KRT25,ENSG00000204897,KRT25
8,ILMN_1847638,HS.579719,,
9,ILMN_1772260,STEAP1,ENSG00000164647,STEAP1
10,ILMN_1772260,STEAP1,ENSG00000105889,STEAP1B
11,ILMN_1672034,PIM3,ENSG00000198355,PIM3
12,ILMN_1672034,PIM3,ENSG00000276753,MIR6821
13,ILMN_2140008,LOC652614,,
14,ILMN_1865286,HS.540469,,
15,ILMN_1912077,HS.127935,,
16,ILMN_1665737,UFD1L,ENSG00000070010,UFD1
17,ILMN_1706859,C22ORF32,ENSG00000274112,SMDT1
18,ILMN_1706859,C22ORF32,ENSG00000272901,SMDT1
19,ILMN_1706859,C22ORF32,ENSG00000272835,SMDT1
20,ILMN_1706859,C22ORF32,ENSG00000183172,SMDT1
21,ILMN_1914349,HS.197593,,
22,ILMN_1680322,HHCM,,
23,ILMN_1678554,LOC653832,,
24,ILMN_1691534,ICHTHYIN,ENSG00000172548,NIPAL4
25,ILMN_1668996,C1QBP,ENSG00000108561,C1QBP
26,ILMN_2322552,NCKAP1,ENSG00000061676,NCKAP1
27,ILMN_1751904,EDNRB,ENSG00000136160,EDNRB
28,ILMN_1700306,OCIAD2,ENSG00000145247,OCIAD2
29,ILMN_1893536,HS.537870,,
30,ILMN_1853681,HS.543228,,
31,ILMN_1714710,CCDC120,ENSG00000147144,CCDC120
32,ILMN_1730175,ZNF19,ENSG00000157429,ZNF19
33,ILMN_1652646,LOC441196,,
34,ILMN_1852570,HS.572929,,
35,ILMN_1672307,BMX,ENSG00000102010,BMX
36,ILMN_2104696,ERICH1,ENSG00000104714,ERICH1
37,ILMN_1718727,LOC644019,,
38,ILMN_1903696,HS.543170,,
39,ILMN_1835610,HS.552155,,
40,ILMN_1845444,HS.333288,,
41,ILMN_1906528,HS.537966,,
42,ILMN_2210111,GDF3,ENSG00000184344,GDF3
43,ILMN_1793146,CCDC25,ENSG00000147419,CCDC25
44,ILMN_1692368,DLX2,ENSG00000115844,DLX2
45,ILMN_1916106,HS.566049,,
46,ILMN_1735042,OR4N4,ENSG00000280555,LINC02203
47,ILMN_1735042,OR4N4,ENSG00000278178,
48,ILMN_1735042,OR4N4,ENSG00000274792,
49,ILMN_1735042,OR4N4,ENSG00000288501,OR4N4
50,ILMN_1735042,OR4N4,ENSG00000288193,
51,ILMN_1735042,OR4N4,ENSG00000279408,OR4N4C
52,ILMN_1735042,OR4N4,ENSG00000285472,
53,ILMN_1735042,OR4N4,ENSG00000280709,LINC02203
54,ILMN_1735042,OR4N4,ENSG00000183706,OR4N4
55,ILMN_2194108,RBMY1J,ENSG00000226941,RBMY1J
56,ILMN_2194108,RBMY1J,ENSG00000169800,RBMY1F
57,ILMN_1797786,MAPK12,ENSG00000188130,MAPK12
58,ILMN_1913897,HS.543463,,
59,ILMN_1688790,LOC730272,ENSG00000230006,ANKRD36BP2
60,ILMN_1651767,MKL1,ENSG00000196588,MRTFA
61,ILMN_1812702,SIX1,ENSG00000126778,SIX1
62,ILMN_1741224,GPR137C,ENSG00000180998,GPR137C
63,ILMN_1663099,UBE2B,ENSG00000119048,UBE2B
64,ILMN_1831907,HS.155607,,
65,ILMN_2196328,POSTN,ENSG00000133110,POSTN
66,ILMN_1887823,HS.582536,ENSG00000249073,WSPAR
67,ILMN_1824609,HS.545070,,
68,ILMN_1777322,FAM91A1,ENSG00000176853,FAM91A1
69,ILMN_1770385,FLJ46838,ENSG00000243244,STON1
70,ILMN_1720162,FAT4,ENSG00000196159,FAT4
71,ILMN_1828659,HS.269406,,
72,ILMN_1783075,C6ORF167,ENSG00000146263,MMS22L
73,ILMN_1681576,IQCF2,ENSG00000184345,IQCF2
74,ILMN_1661968,LOC644010,ENSG00000172262,ZNF131
75,ILMN_1752967,DHPS,ENSG00000285589,
76,ILMN_1752967,DHPS,ENSG00000095059,DHPS
77,ILMN_1708631,LOC644819,ENSG00000196893,
78,ILMN_1849468,HS.568922,ENSG00000150672,DLG2
79,ILMN_1657816,LOC646422,,
80,ILMN_1668507,DDAH1,ENSG00000153904,DDAH1
81,ILMN_1690922,MAST2,ENSG00000086015,MAST2
82,ILMN_1676602,SLC7A14,ENSG00000013293,SLC7A14
83,ILMN_1723685,PCDHB10,ENSG00000120324,PCDHB10
84,ILMN_1881975,HS.565030,,
85,ILMN_2401946,HSFY2,ENSG00000169953,HSFY2
86,ILMN_2401946,HSFY2,ENSG00000172468,HSFY1
87,ILMN_1771643,LOC647200,ENSG00000236740,
88,ILMN_1877257,HS.551655,ENSG00000255270,NAV2-IT1
89,ILMN_1901929,HS.538076,,
90,ILMN_1906980,HS.146758,ENSG00000261194,LINC01898
91,ILMN_2363498,LSR,ENSG00000105699,LSR
92,ILMN_1681857,MYL7,ENSG00000106631,MYL7
93,ILMN_1735157,GALNT12,ENSG00000119514,GALNT12
94,ILMN_1652890,LOC653349,ENSG00000184911,DMRTC1B
95,ILMN_1652890,LOC653349,ENSG00000269502,DMRTC1
96,ILMN_1661596,FLVCR1,ENSG00000162769,FLVCR1
97,ILMN_1685929,VANGL1,ENSG00000173218,VANGL1
98,ILMN_1658472,APH1A,ENSG00000117362,APH1A
99,ILMN_1845076,HS.122053,,
100,ILMN_1740339,ZNF473,ENSG00000142528,ZNF473
101,ILMN_1795511,LOC649101,,
102,ILMN_1719864,PACS2,ENSG00000179364,PACS2
103,ILMN_1702321,LOC651763,,
104,ILMN_1825376,HS.574219,,
105,ILMN_1661650,SMEK2,,
106,ILMN_1768433,CCDC71,ENSG00000177352,CCDC71
107,ILMN_1765923,FLJ22222,ENSG00000181396,OGFOD3
108,ILMN_1683494,TMEM154,ENSG00000170006,TMEM154
109,ILMN_1716259,PROK1,ENSG00000143125,PROK1
110,ILMN_2274531,ZNF586,ENSG00000083828,ZNF586
111,ILMN_1745817,NELL1,ENSG00000165973,NELL1
112,ILMN_1728121,OR10R2,ENSG00000198965,OR10R2
113,ILMN_1907619,HS.308627,,
114,ILMN_1853273,HS.174508,,
115,ILMN_1750250,ABCA12,ENSG00000144452,ABCA12
116,ILMN_2361920,SGK2,ENSG00000101049,SGK2
117,ILMN_2242463,CTSC,ENSG00000109861,CTSC
118,ILMN_1901023,HS.561438,ENSG00000260066,
119,ILMN_1664136,LOC644074,,
120,ILMN_2336037,EPN2,ENSG00000072134,EPN2
121,ILMN_1670274,POU3F3,ENSG00000198914,POU3F3
122,ILMN_1748235,LOC642111,ENSG00000277327,SPDYE20P
123,ILMN_2151241,MMEL1,ENSG00000277131,MMEL1
124,ILMN_2151241,MMEL1,ENSG00000142606,MMEL1
125,ILMN_1664008,LOC641744,ENSG00000213642,
126,ILMN_1660797,FAM90A2P,ENSG00000205879,FAM90A2P
127,ILMN_1660797,FAM90A2P,ENSG00000285913,FAM90A18P
128,ILMN_1660797,FAM90A2P,ENSG00000215373,FAM90A5P
129,ILMN_1660797,FAM90A2P,ENSG00000285607,FAM90A9P
130,ILMN_1660797,FAM90A2P,ENSG00000285657,FAM90A19P
131,ILMN_1660797,FAM90A2P,ENSG00000233132,FAM90A3P
