"","ensemblGeneID","geneLength","geneName","geneBiotype"
"1","ENSG00000000003",4536,"TSPAN6","protein_coding"
"2","ENSG00000000005",1476,"TNMD","protein_coding"
"3","ENSG00000000419",1207,"DPM1","protein_coding"
"4","ENSG00000000457",6883,"SCYL3","protein_coding"
"5","ENSG00000000460",5970,"C1orf112","protein_coding"
"6","ENSG00000000938",3382,"FGR","protein_coding"
"7","ENSG00000000971",8145,"CFH","protein_coding"
"8","ENSG00000001036",2822,"FUCA2","protein_coding"
"9","ENSG00000001084",8618,"GCLC","protein_coding"
"10","ENSG00000001167",3811,"NFYA","protein_coding"
"11","ENSG00000001460",8511,"STPG1","protein_coding"
"12","ENSG00000001461",9396,"NIPAL3","protein_coding"
"13","ENSG00000001497",5589,"LAS1L","protein_coding"
"14","ENSG00000001561",4644,"ENPP4","protein_coding"
"15","ENSG00000001617",4826,"SEMA3F","protein_coding"
"16","ENSG00000001626",9343,"CFTR","protein_coding"
"17","ENSG00000001629",7389,"ANKIB1","protein_coding"
"18","ENSG00000001630",3529,"CYP51A1","protein_coding"
"19","ENSG00000001631",6204,"KRIT1","protein_coding"
"20","ENSG00000002016",4503,"RAD52","protein_coding"
"21","ENSG00000002079",6307,"MYH16","transcribed_unitary_pseudogene"
"22","ENSG00000002330",1708,"BAD","protein_coding"
"23","ENSG00000002549",3785,"LAP3","protein_coding"
"24","ENSG00000002586",4858,"CD99","protein_coding"
"25","ENSG00000002587",7435,"HS3ST1","protein_coding"
"26","ENSG00000002726",3824,"AOC1","protein_coding"
"27","ENSG00000002745",3264,"WNT16","protein_coding"
"28","ENSG00000002746",13935,"HECW1","protein_coding"
"29","ENSG00000002822",7230,"MAD1L1","protein_coding"
"30","ENSG00000002834",7061,"LASP1","protein_coding"
"31","ENSG00000002919",3606,"SNX11","protein_coding"
"32","ENSG00000002933",3477,"TMEM176A","protein_coding"
"33","ENSG00000003056",3585,"M6PR","protein_coding"
"34","ENSG00000003096",6983,"KLHL13","protein_coding"
"35","ENSG00000003137",5015,"CYP26B1","protein_coding"
"36","ENSG00000003147",4883,"ICA1","protein_coding"
"37","ENSG00000003249",4791,"DBNDD1","protein_coding"
"38","ENSG00000003393",10438,"ALS2","protein_coding"
"39","ENSG00000003400",7598,"CASP10","protein_coding"
"40","ENSG00000003402",22479,"CFLAR","protein_coding"
"41","ENSG00000003436",11714,"TFPI","protein_coding"
"42","ENSG00000003509",3651,"NDUFAF7","protein_coding"
"43","ENSG00000003756",10357,"RBM5","protein_coding"
"44","ENSG00000003987",6928,"MTMR7","protein_coding"
"45","ENSG00000003989",7905,"SLC7A2","protein_coding"
"46","ENSG00000004059",1825,"ARF5","protein_coding"
"47","ENSG00000004139",11105,"SARM1","protein_coding"
"48","ENSG00000004142",2670,"POLDIP2","protein_coding"
"49","ENSG00000004399",9738,"PLXND1","protein_coding"
"50","ENSG00000004455",9625,"AK2","protein_coding"
"51","ENSG00000004468",6857,"CD38","protein_coding"
"52","ENSG00000004478",5163,"FKBP4","protein_coding"
"53","ENSG00000004487",5440,"KDM1A","protein_coding"
"54","ENSG00000004534",7299,"RBM6","protein_coding"
"55","ENSG00000004660",7433,"CAMKK1","protein_coding"
"56","ENSG00000004700",3779,"RECQL","protein_coding"
"57","ENSG00000004766",9559,"VPS50","protein_coding"
"58","ENSG00000004776",1724,"HSPB6","protein_coding"
"59","ENSG00000004777",5260,"ARHGAP33","protein_coding"
"60","ENSG00000004779",1548,"NDUFAB1","protein_coding"
"61","ENSG00000004799",4544,"PDK4","protein_coding"
"62","ENSG00000004809",3907,"SLC22A16","protein_coding"
"63","ENSG00000004838",2889,"ZMYND10","protein_coding"
"64","ENSG00000004846",9257,"ABCB5","protein_coding"
"65","ENSG00000004848",3114,"ARX","protein_coding"
"66","ENSG00000004864",3710,"SLC25A13","protein_coding"
"67","ENSG00000004866",6742,"ST7","protein_coding"
"68","ENSG00000004897",6824,"CDC27","protein_coding"
"69","ENSG00000004939",5125,"SLC4A1","protein_coding"
"70","ENSG00000004948",4227,"CALCR","protein_coding"
"71","ENSG00000004961",2343,"HCCS","protein_coding"
"72","ENSG00000004975",5321,"DVL2","protein_coding"
"73","ENSG00000005001",2384,"PRSS22","protein_coding"
"74","ENSG00000005007",8600,"UPF1","protein_coding"
"75","ENSG00000005020",5361,"SKAP2","protein_coding"
"76","ENSG00000005022",1555,"SLC25A5","protein_coding"
"77","ENSG00000005059",3555,"MCUB","protein_coding"
"78","ENSG00000005073",2307,"HOXA11","protein_coding"
"79","ENSG00000005075",1355,"POLR2J","protein_coding"
